date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:10:58	108738/108738	---M-Z	200	added ('OK')	image/svg+xml	etag:%221a8c2-5a3964f6-3538234ca5238361;gz%22	http://paul-themes.com/html/donald/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/Portfolio_Jana3/paul-themes.com/html/donald/fonts/glyphicons-halflings-regular.svg	(from http://paul-themes.com/html/donald/css/bootstrap.min.css)
15:11:05	45404/45404	---M--	200	added ('OK')	application/x-font-ttf	etag:%22b15c-5a3964f7-bdff12657d942dea;;;%22	http://paul-themes.com/html/donald/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/Portfolio_Jana3/paul-themes.com/html/donald/fonts/glyphicons-halflings-regular.ttf	(from http://paul-themes.com/html/donald/css/bootstrap.min.css)
15:11:16	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222876e-5a3964ec-a4ae8841ba7e0ca;;;%22	http://paul-themes.com/html/donald/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/Portfolio_Jana3/paul-themes.com/html/donald/fonts/fontawesome-webfont3e6e.eot	(from http://paul-themes.com/html/donald/css/font-awesome.min.css)
15:11:23	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222876e-5a3964ec-a4ae8841ba7e0ca;;;%22	http://paul-themes.com/html/donald/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/Portfolio_Jana3/paul-themes.com/html/donald/fonts/fontawesome-webfontd41d.eot	(from http://paul-themes.com/html/donald/css/font-awesome.min.css)
15:11:29	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2212d68-5a3964f2-3daf36c3b1896ea1;;;%22	http://paul-themes.com/html/donald/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/Portfolio_Jana3/paul-themes.com/html/donald/fonts/fontawesome-webfont3e6e.woff2	(from http://paul-themes.com/html/donald/css/font-awesome.min.css)
15:11:29	295549/295549	---M--	200	added ('OK')	image/jpeg	etag:%224827d-5a396504-e45f95f914202743;;;%22	http://paul-themes.com/html/donald/img/bg/masthead.jpg	C:/My%20Web%20Sites/Portfolio_Jana3/paul-themes.com/html/donald/img/bg/masthead.jpg	(from http://paul-themes.com/html/donald/css/style.css)
15:11:32	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	etag:%226c7db-5a3964ee-a1f7e9e1d4f05c43;gz%22	http://paul-themes.com/html/donald/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/Portfolio_Jana3/paul-themes.com/html/donald/fonts/fontawesome-webfont3e6e.svg	(from http://paul-themes.com/html/donald/css/font-awesome.min.css)
15:11:33	116/116	---M--	200	added ('OK')	image/png	etag:%2274-5a3964e5-f2982d1823a8ca81;;;%22	http://paul-themes.com/html/donald/css/grabbing.png	C:/My%20Web%20Sites/Portfolio_Jana3/paul-themes.com/html/donald/css/grabbing.png	(from http://paul-themes.com/html/donald/css/owl.carousel.css)
15:11:39	98024/98024	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2217ee8-5a3964f1-3f7919678e296191;;;%22	http://paul-themes.com/html/donald/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/Portfolio_Jana3/paul-themes.com/html/donald/fonts/fontawesome-webfont3e6e.woff	(from http://paul-themes.com/html/donald/css/font-awesome.min.css)
15:11:46	165548/165548	---M--	200	added ('OK')	application/x-font-ttf	etag:%22286ac-5a3964ef-f48ee896142620cf;;;%22	http://paul-themes.com/html/donald/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/Portfolio_Jana3/paul-themes.com/html/donald/fonts/fontawesome-webfont3e6e.ttf	(from http://paul-themes.com/html/donald/css/font-awesome.min.css)
15:11:53	625128/625128	---M--	200	added ('OK')	image/jpeg	etag:%22989e8-5a396502-f9ae75647a886492;;;%22	http://paul-themes.com/html/donald/img/bg/banner.jpg	C:/My%20Web%20Sites/Portfolio_Jana3/paul-themes.com/html/donald/img/bg/banner.jpg	(from http://paul-themes.com/html/donald/css/style.css)
